id,biosample,sample,dateCollected,depth,sra,submitter
22786618,SAMN22786618,1035101615_18S_V4,2018-09-12,300.4,SRS10846819,Leocadio Blanco-Bercial
22786617,SAMN22786617,1035101613_18S_V4,2018-09-12,250.3,SRS10846820,Leocadio Blanco-Bercial
22786616,SAMN22786616,1035101611_18S_V4,2018-09-12,201,SRS10846816,Leocadio Blanco-Bercial
22786615,SAMN22786615,1035101609_18S_V4,2018-09-12,161.8,SRS10846814,Leocadio Blanco-Bercial
22786614,SAMN22786614,1035101607_18S_V4,2018-09-12,118.9,SRS10846815,Leocadio Blanco-Bercial
22786613,SAMN22786613,1035101623_18S_V4,2018-09-11,1000.9,SRS10846812,Leocadio Blanco-Bercial
22786612,SAMN22786612,1035101601_18S_V4,2018-09-12,4.6,SRS10846813,Leocadio Blanco-Bercial
22786611,SAMN22786611,1035001621_18S_V4,2018-08-13,799.7,SRS10846810,Leocadio Blanco-Bercial
22786610,SAMN22786610,1035001605_18S_V4,2018-08-14,79.5,SRS10846811,Leocadio Blanco-Bercial
22786609,SAMN22786609,1035001619_18S_V4,2018-08-13,599.5,SRS10846809,Leocadio Blanco-Bercial
22786608,SAMN22786608,1035001617_18S_V4,2018-08-14,500.4,SRS10846808,Leocadio Blanco-Bercial
22786607,SAMN22786607,1035001603_18S_V4,2018-08-14,39.7,SRS10846804,Leocadio Blanco-Bercial
22786606,SAMN22786606,1035001615_18S_V4,2018-08-14,303,SRS10846807,Leocadio Blanco-Bercial
22786605,SAMN22786605,1035001613_18S_V4,2018-08-14,249.6,SRS10846806,Leocadio Blanco-Bercial
22786604,SAMN22786604,1035001611_18S_V4,2018-08-14,200.6,SRS10846803,Leocadio Blanco-Bercial
22786603,SAMN22786603,1035001609_18S_V4,2018-08-14,159.7,SRS10846802,Leocadio Blanco-Bercial
22786602,SAMN22786602,1035001607_18S_V4,2018-08-14,119.3,SRS10846801,Leocadio Blanco-Bercial
22786601,SAMN22786601,1035001623_18S_V4,2018-08-13,999.6,SRS10846800,Leocadio Blanco-Bercial
22786600,SAMN22786600,1035001601_18S_V4,2018-08-14,3,SRS10846799,Leocadio Blanco-Bercial
